gwcode,year,infmort
52,1998,28.6
52,1999,28.7
52,2000,28.7
52,2001,28.8
52,2002,28.8
52,2003,28.8
52,2004,28.9
52,2005,28.9
52,2006,28.8
52,2007,28.8
52,2008,28.5
52,2009,28.1
52,2010,27.6
52,2011,27.1
52,2012,26.5
52,2013,25.8
52,2014,25.2
52,2015,24.5
52,2016,23.8
52,2017,23.1
53,1970,41.2
53,1971,39.2
53,1972,37.3
53,1973,35.4
53,1974,33.6
53,1975,31.7
53,1976,30
53,1977,28.3
53,1978,26.7
53,1979,25.2
53,1980,23.9
53,1981,22.7
53,1982,21.7
53,1983,20.9
53,1984,20.1
53,1985,19.4
53,1986,18.8
53,1987,18.1
53,1988,17.4
53,1989,16.7
53,1990,16
53,1991,15.3
53,1992,14.7
53,1993,14.1
53,1994,13.7
53,1995,13.4
53,1996,13.3
53,1997,13.3
53,1998,13.4
53,1999,13.5
53,2000,13.8
53,2001,14
53,2002,14.2
53,2003,14.4
53,2004,14.4
53,2005,14.4
53,2006,14.2
53,2007,14
53,2008,13.8
53,2009,13.6
53,2010,13.4
53,2011,13.1
53,2012,12.9
53,2013,12.7
53,2014,12.4
53,2015,12.1
53,2016,11.9
53,2017,11.5
70,1970,76.7
70,1971,74.3
70,1972,71.9
70,1973,69.6
70,1974,67.5
70,1975,65.6
70,1976,63.7
70,1977,61.7
70,1978,59.6
70,1979,57.4
70,1980,55
70,1981,52.6
70,1982,50.2
70,1983,48
70,1984,46.1
70,1985,44.3
70,1986,42.6
70,1987,41
70,1988,39.5
70,1989,37.9
70,1990,36.3
70,1991,34.8
70,1992,33.2
70,1993,31.8
70,1994,30.4
70,1995,29
70,1996,27.7
70,1997,26.3
70,1998,25
70,1999,23.7
70,2000,22.5
70,2001,21.3
70,2002,20.3
70,2003,19.3
70,2004,18.4
70,2005,17.6
70,2006,16.9
70,2007,16.3
70,2008,15.8
70,2009,15.3
70,2010,14.9
70,2011,14.5
70,2012,14.1
70,2013,13.7
70,2014,13.2
70,2015,12.7
70,2016,12.2
70,2017,11.5
90,1970,117.4
90,1971,114.4
90,1972,111.3
90,1973,108.2
90,1974,105.1
90,1975,102.1
90,1976,99.1
90,1977,96
90,1978,93.1
90,1979,90.1
90,1980,87.2
90,1981,84.4
90,1982,81.5
90,1983,78.7
90,1984,75.9
90,1985,73.1
90,1986,70.4
90,1987,67.7
90,1988,65.1
90,1989,62.6
90,1990,60.1
90,1991,57.7
90,1992,55.4
90,1993,53.2
90,1994,51.1
90,1995,49.2
90,1996,47.3
90,1997,45.5
90,1998,43.8
90,1999,42.3
90,2000,40.8
90,2001,39.4
90,2002,38
90,2003,36.7
90,2004,35.5
90,2005,34.3
90,2006,33.2
90,2007,32.1
90,2008,31.1
90,2009,30.1
90,2010,29.1
90,2011,28.2
90,2012,27.2
90,2013,26.3
90,2014,25.5
90,2015,24.7
90,2016,23.9
90,2017,23.1
91,1970,101.5
91,1971,97.9
91,1972,94.4
91,1973,90.9
91,1974,87.6
91,1975,84.3
91,1976,81.1
91,1977,77.9
91,1978,74.8
91,1979,71.7
91,1980,68.8
91,1981,65.9
91,1982,63.1
91,1983,60.5
91,1984,58
91,1985,55.6
91,1986,53.3
91,1987,51.1
91,1988,49
91,1989,47
91,1990,45.1
91,1991,43.3
91,1992,41.6
91,1993,40
91,1994,38.5
91,1995,37.1
91,1996,35.7
91,1997,34.4
91,1998,36.7
91,1999,31.8
91,2000,30.6
91,2001,29.3
91,2002,28.1
91,2003,26.9
91,2004,25.8
91,2005,24.7
91,2006,23.7
91,2007,22.7
91,2008,21.8
91,2009,20.9
91,2010,20.1
91,2011,19.3
91,2012,18.6
91,2013,18
91,2014,17.3
91,2015,16.7
91,2016,16.2
91,2017,15.6
92,1970,104.8
92,1971,102.9
92,1972,100.9
92,1973,98.6
92,1974,96.2
92,1975,93.6
92,1976,90.7
92,1977,87.7
92,1978,84.5
92,1979,81.1
92,1980,77.6
92,1981,73.9
92,1982,70.1
92,1983,66.4
92,1984,62.8
92,1985,59.5
92,1986,56.3
92,1987,53.5
92,1988,50.8
92,1989,48.4
92,1990,46.1
92,1991,43.9
92,1992,41.8
92,1993,39.8
92,1994,37.7
92,1995,35.7
92,1996,33.8
92,1997,32
92,1998,30.2
92,1999,28.7
92,2000,27.2
92,2001,25.8
92,2002,24.6
92,2003,23.4
92,2004,22.2
92,2005,21.1
92,2006,20.1
92,2007,19.1
92,2008,18.2
92,2009,17.4
92,2010,16.6
92,2011,15.8
92,2012,15.1
92,2013,14.5
92,2014,13.9
92,2015,13.4
92,2016,12.9
92,2017,12.5
93,1970,116.3
93,1971,113.7
93,1972,110.8
93,1973,107.5
93,1974,103.9
93,1975,99.8
93,1976,95.4
93,1977,90.8
93,1978,86.1
93,1979,81.6
93,1980,77.2
93,1981,73.2
93,1982,69.5
93,1983,66.2
93,1984,63.3
93,1985,60.8
93,1986,58.6
93,1987,56.6
93,1988,54.7
93,1989,52.8
93,1990,50.9
93,1991,48.9
93,1992,46.8
93,1993,44.7
93,1994,42.7
93,1995,40.7
93,1996,38.7
93,1997,36.8
93,1998,36.1
93,1999,33.1
93,2000,31.5
93,2001,29.9
93,2002,28.4
93,2003,27
93,2004,25.7
93,2005,24.5
93,2006,23.3
93,2007,22.2
93,2008,21.1
93,2009,20.1
93,2010,19.2
93,2011,18.4
93,2012,17.7
93,2013,17
93,2014,16.4
93,2015,15.9
93,2016,15.3
93,2017,14.8
94,1970,61.5
94,1971,57.7
94,1972,52.3
94,1973,47.1
94,1974,42.7
94,1975,38.1
94,1976,33
94,1977,28.1
94,1978,24.1
94,1979,21.4
94,1980,19.8
94,1981,19.2
94,1982,19.2
94,1983,19.4
94,1984,19.5
94,1985,19.2
94,1986,18.3
94,1987,17
94,1988,15.8
94,1989,14.9
94,1990,14.3
94,1991,13.8
94,1992,13.4
94,1993,13
94,1994,12.7
94,1995,12.5
94,1996,12.6
94,1997,12.7
94,1998,12.4
94,1999,11.8
94,2000,11.1
94,2001,10.5
94,2002,10.1
94,2003,9.6
94,2004,9.3
94,2005,9
94,2006,9
94,2007,9
94,2008,9
94,2009,8.8
94,2010,8.7
94,2011,8.6
94,2012,8.5
94,2013,8.4
94,2014,8.3
94,2015,8.2
94,2016,8
94,2017,7.8
95,1970,50.1
95,1971,48.1
95,1972,46
95,1973,44
95,1974,42.1
95,1975,40.5
95,1976,39
95,1977,37.8
95,1978,36.8
95,1979,35.9
95,1980,34.9
95,1981,33.8
95,1982,32.8
95,1983,31.7
95,1984,30.6
95,1985,29.6
95,1986,28.7
95,1987,27.8
95,1988,27
95,1989,26.2
95,1990,25.6
95,1991,25
95,1992,24.5
95,1993,24.1
95,1994,23.8
95,1995,23.5
95,1996,23.3
95,1997,23
95,1998,22.7
95,1999,22.4
95,2000,22
95,2001,21.6
95,2002,21.1
95,2003,20.6
95,2004,20.1
95,2005,19.6
95,2006,19.2
95,2007,18.7
95,2008,18.2
95,2009,17.7
95,2010,17.2
95,2011,16.7
95,2012,16.2
95,2013,15.7
95,2014,15.3
95,2015,14.8
95,2016,14.3
95,2017,13.9
100,1970,70.4
100,1971,68.1
100,1972,65.8
100,1973,63.3
100,1974,60.8
100,1975,58.2
100,1976,55.4
100,1977,52.7
100,1978,49.9
100,1979,47.2
100,1980,44.6
100,1981,42.2
100,1982,40
100,1983,37.9
100,1984,36
100,1985,34.4
100,1986,33
100,1987,31.7
100,1988,30.7
100,1989,29.7
100,1990,28.9
100,1991,28.1
100,1992,27.3
100,1993,26.4
100,1994,25.6
100,1995,24.8
100,1996,24
100,1997,23.2
100,1998,22.5
100,1999,21.8
100,2000,21.2
100,2001,20.6
100,2002,20
100,2003,19.5
100,2004,19
100,2005,18.4
100,2006,17.9
100,2007,17.4
100,2008,16.9
100,2009,16.4
100,2010,15.9
100,2011,15.4
100,2012,14.9
100,2013,14.4
100,2014,14
100,2015,13.5
100,2016,13.1
100,2017,12.7
101,1970,47.9
101,1971,46.6
101,1972,45.4
101,1973,44.2
101,1974,43.1
101,1975,41.9
101,1976,40.7
101,1977,39.4
101,1978,38
101,1979,36.7
101,1980,35.3
101,1981,34
101,1982,32.8
101,1983,31.7
101,1984,30.6
101,1985,29.7
101,1986,28.7
101,1987,27.8
101,1988,26.7
101,1989,25.7
101,1990,24.7
101,1991,23.9
101,1992,23.3
101,1993,22.9
101,1994,22.5
101,1995,22.1
101,1996,21.5
101,1997,20.8
101,1998,20
101,1999,20.2
101,2000,18.5
101,2001,17.9
101,2002,17.4
101,2003,16.9
101,2004,16.4
101,2005,15.9
101,2006,15.4
101,2007,15
101,2008,14.6
101,2009,14.4
101,2010,14.3
101,2011,14.3
101,2012,14.6
101,2013,15.4
101,2014,16.9
101,2015,19.2
101,2016,22.2
101,2017,25.7
110,1970,54.9
110,1971,54.8
110,1972,54.7
110,1973,54.6
110,1974,54.5
110,1975,54.4
110,1976,54.2
110,1977,53.9
110,1978,53.6
110,1979,53.2
110,1980,52.9
110,1981,52.5
110,1982,52.1
110,1983,51.6
110,1984,51.2
110,1985,50.7
110,1986,50.1
110,1987,49.4
110,1988,48.6
110,1989,47.6
110,1990,46.6
110,1991,45.6
110,1992,44.6
110,1993,43.5
110,1994,42.5
110,1995,41.5
110,1996,40.6
110,1997,39.7
110,1998,38.8
110,1999,38
110,2000,37.2
110,2001,36.4
110,2002,35.6
110,2003,34.9
110,2004,34.2
110,2005,33.6
110,2006,33
110,2007,32.4
110,2008,31.8
110,2009,31.2
110,2010,30.7
110,2011,30.1
110,2012,29.5
110,2013,28.9
110,2014,28.3
110,2015,27.5
110,2016,26.7
110,2017,26
115,1975,63.22932687491399
115,1976,61.365025026050176
115,1977,59.55569167923209
115,1978,57.7997061010904
115,1979,56.09549534519827
115,1980,54.44153284308479
115,1981,52.83633703679173
115,1982,51.27847005174934
115,1983,48.4
115,1984,47.2
115,1985,46.1
115,1986,45.1
115,1987,44.1
115,1988,43.1
115,1989,42
115,1990,40.9
115,1991,39.9
115,1992,38.8
115,1993,37.7
115,1994,36.6
115,1995,35.5
115,1996,34.4
115,1997,33.3
115,1998,32.2
115,1999,31.2
115,2000,30.2
115,2001,29.2
115,2002,28.3
115,2003,27.3
115,2004,26.5
115,2005,25.6
115,2006,24.8
115,2007,24
115,2008,23.3
115,2009,22.5
115,2010,21.9
115,2011,21.2
115,2012,20.5
115,2013,19.8
115,2014,19.2
115,2015,18.7
115,2016,18.1
115,2017,17.5
130,1970,95.8
130,1971,93.7
130,1972,91.3
130,1973,88.6
130,1974,85.4
130,1975,82.1
130,1976,78.8
130,1977,75.7
130,1978,72.8
130,1979,70
130,1980,67.1
130,1981,64.3
130,1982,61.3
130,1983,58.4
130,1984,55.5
130,1985,52.8
130,1986,50.4
130,1987,48.2
130,1988,46.1
130,1989,44.2
130,1990,42.4
130,1991,40.6
130,1992,38.7
130,1993,36.9
130,1994,35
130,1995,33
130,1996,31.1
130,1997,29.1
130,1998,27.4
130,1999,25.7
130,2000,24.3
130,2001,23.1
130,2002,22
130,2003,21.1
130,2004,20.2
130,2005,19.4
130,2006,18.7
130,2007,17.9
130,2008,17.2
130,2009,16.4
130,2010,15.7
130,2011,15
130,2012,14.4
130,2013,13.8
130,2014,13.4
130,2015,13
130,2016,12.7
130,2017,12.5
135,1970,103.8
135,1971,101.3
135,1972,98.7
135,1973,96.2
