"gwcode","date","year","epr_groups","epr_elf","epr_excluded_groups_count","epr_excluded_group_pop","epr_inpower_groups_count","epr_inpower_groups_pop","epr_regaut_groups_count","epr_regaut_group_pop"
2,1946-01-01,1946,6,0.50985648,2,0.1318,4,0.8562,1,0.0078
20,1946-01-01,1946,3,0.4269,1,0.02,2,0.87,2,0.87
40,1946-01-01,1946,2,0.539762,1,0.359,1,0.641,0,0
41,1946-01-01,1946,1,1,0,0,1,1,0,0
42,1946-01-01,1946,1,1,0,0,1,1,0,0
70,1946-01-01,1946,4,0.664314,3,0.199,1,0.801,0,0
90,1946-01-01,1946,4,0.495638,1,0.515,3,0.485,0,0
91,1946-01-01,1946,3,0.833256,1,0.016,2,0.98,0,0
92,1946-01-01,1946,2,0.82,1,0.1,1,0.9,0,0
93,1946-01-01,1946,4,0.748929,3,0.127,1,0.86,0,0
94,1946-01-01,1946,3,0.707229,2,0.102,1,0.837,0,0
95,1946-01-01,1946,5,0.661434,2,0.155,3,0.843,1,0.015
100,1946-01-01,1946,3,0.586956,1,0.034,2,0.96,0,0
101,1946-01-01,1946,3,0.735458,0,0,3,1,0,0
130,1946-01-01,1946,4,0.6734,3,0.19,1,0.81,0,0
135,1946-01-01,1946,4,0.403365,3,0.423,1,0.52,0,0
140,1946-01-01,1946,3,0.494116,0,0,3,0.994,0,0
145,1946-01-01,1946,4,0.3276,3,0.59,1,0.41,0,0
150,1946-01-01,1946,2,0.893425,1,0.02,1,0.945,0,0
155,1946-01-01,1946,3,0.83395,2,0.09,1,0.91,0,0
160,1946-01-01,1946,2,0.941125,1,0.015,1,0.97,0,0
165,1946-01-01,1946,2,0.830548,0,0,2,0.986,0,0
200,1946-01-01,1946,7,0.675039,2,0.022,5,0.977,1,0.01
205,1946-01-01,1946,1,1,0,0,1,1,0,0
210,1946-01-01,1946,1,1,0,0,1,1,0,0
211,1946-01-01,1946,3,0.5082,0,0,3,1,0,0
212,1946-01-01,1946,1,1,0,0,1,1,0,0
220,1946-01-01,1946,4,0.952644,2,0.01,2,0.98,0,0
221,1946-01-01,1946,NA,NA,NA,NA,NA,NA,NA,NA
223,1946-01-01,1946,NA,NA,NA,NA,NA,NA,NA,NA
225,1946-01-01,1946,3,0.45499,0,0,3,0.938,3,0.938
230,1946-01-01,1946,5,0.497838,4,0.302,1,0.68,0,0
232,1946-01-01,1946,NA,NA,NA,NA,NA,NA,NA,NA
235,1946-01-01,1946,1,1,0,0,1,1,0,0
290,1946-01-01,1946,6,0.67612125,5,0.1715,1,0.81,0,0
305,1946-01-01,1946,2,0.864936,1,0.006,1,0.93,0,0
310,1946-01-01,1946,2,0.8125,1,0.05,1,0.9,0,0
315,1946-01-01,1946,4,0.487846,2,0.067,2,0.933,0,0
325,1946-01-01,1946,6,0.874796,5,0.039,1,0.935,1,0.001
331,1946-01-01,1946,NA,NA,NA,NA,NA,NA,NA,NA
339,1946-01-01,1946,3,0.9035,0,0,3,0.99,0,0
345,1946-01-01,1946,8,0.1985,3,0.21,5,0.72,6,0.82
350,1946-01-01,1946,4,0.922158,3,0.04,1,0.96,0,0
355,1946-01-01,1946,5,0.701693,0,0,5,0.999,0,0
360,1946-01-01,1946,4,0.80601,1,0.066,3,0.922,1,0.066
365,1946-01-01,1946,58,0.32332463,55,0.2316,3,0.7101,36,0.8845
375,1946-01-01,1946,2,0.8685,0,0,2,0.99,0,0
380,1946-01-01,1946,1,1,0,0,1,1,0,0
385,1946-01-01,1946,1,1,0,0,1,1,0,0
390,1946-01-01,1946,1,1,0,0,1,1,0,0
395,1946-01-01,1946,1,1,0,0,1,1,0,0
450,1946-01-01,1946,2,0.9608,1,0.98,1,0.02,0,0
530,1946-01-01,1946,11,0.21512605,4,0.4031,7,0.5964,0,0
560,1946-01-01,1946,5,0.608125,4,0.95,1,0.045,0,0
630,1946-01-01,1946,11,0.32588291,8,0.3846,3,0.5345,2,0.32
640,1946-01-01,1946,3,0.59494356,2,0.1866,1,0.75,0,0
645,1946-01-01,1946,3,0.45375,1,0.17,2,0.81,0,0
651,1946-01-01,1946,3,0.83601802,2,0.0901,1,0.9099,0,0
652,1946-01-01,1946,5,0.4567,2,0.16,3,0.83,2,0.16
660,1946-01-01,1946,11,0.1912,4,0.13,7,0.87,0,0
663,1946-01-01,1946,3,0.4136,2,0.56,1,0.4,0,0
670,1946-01-01,1946,4,0.2201,2,0.17,2,0.62,0,0
678,1946-01-01,1946,4,0.5604,3,0.71,1,0.29,0,0
698,1946-01-01,1946,1,0.5476,0,0,1,0.74,0,0
700,1946-01-01,1946,12,0.250214,2,0.117,10,0.809,0,0
710,1946-01-01,1946,35,0.88389487,0,0,35,0.9959,0,0
711,1946-01-01,1946,1,1,0,0,1,1,0,0
712,1946-01-01,1946,2,0.8125,1,0.05,1,0.9,1,0.05
740,1946-01-01,1946,5,0.94689304,1,0.006,4,0.9892,0,0
790,1946-01-01,1946,6,0.2343,4,0.64,2,0.35,0,0
800,1946-01-01,1946,5,0.56855,3,0.18,2,0.75,0,0
840,1946-01-01,1946,4,0.746332,2,0.066,2,0.934,0,0
850,1946-01-01,1946,15,0.22507575,13,0.3079,2,0.48,12,0.2879
900,1946-01-01,1946,3,0.7076,2,0.06,1,0.84,0,0
920,1946-01-01,1946,4,0.761014,1,0.097,3,0.947,0,0
2,1947-01-01,1947,6,0.50985648,2,0.1318,4,0.8562,1,0.0078
20,1947-01-01,1947,3,0.4269,1,0.02,2,0.87,2,0.87
40,1947-01-01,1947,2,0.539762,1,0.359,1,0.641,0,0
41,1947-01-01,1947,1,1,0,0,1,1,0,0
42,1947-01-01,1947,1,1,0,0,1,1,0,0
70,1947-01-01,1947,4,0.664314,3,0.199,1,0.801,0,0
90,1947-01-01,1947,4,0.495638,1,0.515,3,0.485,0,0
91,1947-01-01,1947,3,0.833256,1,0.016,2,0.98,0,0
92,1947-01-01,1947,2,0.82,1,0.1,1,0.9,0,0
93,1947-01-01,1947,4,0.748929,3,0.127,1,0.86,0,0
94,1947-01-01,1947,3,0.707229,2,0.102,1,0.837,0,0
95,1947-01-01,1947,5,0.661434,2,0.155,3,0.843,1,0.015
100,1947-01-01,1947,3,0.586956,1,0.034,2,0.96,0,0
101,1947-01-01,1947,3,0.735458,0,0,3,1,0,0
130,1947-01-01,1947,4,0.6734,3,0.19,1,0.81,0,0
135,1947-01-01,1947,4,0.403365,3,0.423,1,0.52,0,0
140,1947-01-01,1947,3,0.494116,0,0,3,0.994,0,0
145,1947-01-01,1947,4,0.3276,3,0.59,1,0.41,0,0
150,1947-01-01,1947,2,0.893425,1,0.02,1,0.945,0,0
155,1947-01-01,1947,3,0.83395,2,0.09,1,0.91,0,0
160,1947-01-01,1947,2,0.941125,1,0.015,1,0.97,0,0
165,1947-01-01,1947,2,0.830548,0,0,2,0.986,0,0
200,1947-01-01,1947,7,0.675039,2,0.022,5,0.977,1,0.01
205,1947-01-01,1947,1,1,0,0,1,1,0,0
210,1947-01-01,1947,1,1,0,0,1,1,0,0
211,1947-01-01,1947,3,0.5082,0,0,3,1,0,0
212,1947-01-01,1947,1,1,0,0,1,1,0,0
220,1947-01-01,1947,4,0.952644,2,0.01,2,0.98,0,0
221,1947-01-01,1947,NA,NA,NA,NA,NA,NA,NA,NA
223,1947-01-01,1947,NA,NA,NA,NA,NA,NA,NA,NA
225,1947-01-01,1947,3,0.45499,0,0,3,0.938,3,0.938
230,1947-01-01,1947,5,0.497838,4,0.302,1,0.68,0,0
232,1947-01-01,1947,NA,NA,NA,NA,NA,NA,NA,NA
235,1947-01-01,1947,1,1,0,0,1,1,0,0
290,1947-01-01,1947,6,0.67612125,5,0.1715,1,0.81,0,0
305,1947-01-01,1947,2,0.864936,1,0.006,1,0.93,0,0
310,1947-01-01,1947,2,0.8125,1,0.05,1,0.9,0,0
315,1947-01-01,1947,4,0.487846,2,0.067,2,0.933,0,0
325,1947-01-01,1947,6,0.874796,5,0.039,1,0.935,1,0.001
331,1947-01-01,1947,NA,NA,NA,NA,NA,NA,NA,NA
339,1947-01-01,1947,3,0.9035,0,0,3,0.99,0,0
345,1947-01-01,1947,8,0.1985,3,0.21,5,0.72,6,0.82
350,1947-01-01,1947,4,0.922158,3,0.04,1,0.96,0,0
355,1947-01-01,1947,5,0.701693,0,0,5,0.999,0,0
360,1947-01-01,1947,4,0.80601,1,0.066,3,0.922,1,0.066
365,1947-01-01,1947,58,0.32332463,55,0.2316,3,0.7101,36,0.8845
375,1947-01-01,1947,2,0.8685,0,0,2,0.99,0,0
380,1947-01-01,1947,1,1,0,0,1,1,0,0
385,1947-01-01,1947,1,1,0,0,1,1,0,0
390,1947-01-01,1947,1,1,0,0,1,1,0,0
395,1947-01-01,1947,1,1,0,0,1,1,0,0
450,1947-01-01,1947,2,0.9608,1,0.98,1,0.02,0,0
530,1947-01-01,1947,11,0.21512605,4,0.4031,7,0.5964,0,0
560,1947-01-01,1947,5,0.608125,4,0.95,1,0.045,0,0
630,1947-01-01,1947,11,0.32588291,7,0.1446,4,0.7745,0,0
640,1947-01-01,1947,3,0.59494356,2,0.1866,1,0.75,0,0
645,1947-01-01,1947,3,0.45375,1,0.17,2,0.81,0,0
651,1947-01-01,1947,3,0.83601802,2,0.0901,1,0.9099,0,0
652,1947-01-01,1947,5,0.4567,2,0.16,3,0.83,2,0.16
660,1947-01-01,1947,11,0.1912,4,0.13,7,0.87,0,0
663,1947-01-01,1947,3,0.4136,2,0.56,1,0.4,0,0
670,1947-01-01,1947,4,0.2201,2,0.17,2,0.62,0,0
678,1947-01-01,1947,4,0.5604,3,0.71,1,0.29,0,0
698,1947-01-01,1947,1,0.5476,0,0,1,0.74,0,0
700,1947-01-01,1947,12,0.250214,2,0.117,10,0.809,0,0
710,1947-01-01,1947,35,0.88389487,0,0,35,0.9959,0,0
711,1947-01-01,1947,1,1,0,0,1,1,0,0
712,1947-01-01,1947,2,0.8125,1,0.05,1,0.9,1,0.05
740,1947-01-01,1947,5,0.94689304,1,0.006,4,0.9892,0,0
750,1947-01-01,1947,19,0.130965360862794,4,0.00602712,15,0.96132632,4,0.337519
770,1947-01-01,1947,9,0.396853,4,0.61,5,0.379,0,0
790,1947-01-01,1947,6,0.2343,4,0.64,2,0.35,0,0
800,1947-01-01,1947,5,0.56855,3,0.18,2,0.75,0,0
840,1947-01-01,1947,4,0.746332,2,0.066,2,0.934,0,0
850,1947-01-01,1947,15,0.22507575,13,0.3079,2,0.48,12,0.2879
900,1947-01-01,1947,3,0.7076,2,0.06,1,0.84,0,0
920,1947-01-01,1947,4,0.761014,1,0.097,3,0.947,0,0
2,1948-01-01,1948,6,0.50985648,2,0.1318,4,0.8562,1,0.0078
20,1948-01-01,1948,3,0.4269,1,0.02,2,0.87,2,0.87
40,1948-01-01,1948,2,0.539762,1,0.359,1,0.641,0,0
41,1948-01-01,1948,1,1,0,0,1,1,0,0
42,1948-01-01,1948,1,1,0,0,1,1,0,0
70,1948-01-01,1948,4,0.664314,3,0.199,1,0.801,0,0
90,1948-01-01,1948,4,0.495638,1,0.515,3,0.485,0,0
91,1948-01-01,1948,3,0.833256,1,0.016,2,0.98,0,0
92,1948-01-01,1948,2,0.82,1,0.1,1,0.9,0,0
93,1948-01-01,1948,4,0.748929,3,0.127,1,0.86,0,0
94,1948-01-01,1948,3,0.707229,2,0.102,1,0.837,0,0
95,1948-01-01,1948,5,0.661434,2,0.155,3,0.843,1,0.015
100,1948-01-01,1948,3,0.586956,1,0.034,2,0.96,0,0
101,1948-01-01,1948,3,0.735458,0,0,3,1,0,0
130,1948-01-01,1948,4,0.6734,3,0.19,1,0.81,0,0
135,1948-01-01,1948,4,0.403365,3,0.423,1,0.52,0,0
140,1948-01-01,1948,3,0.494116,0,0,3,0.994,0,0
145,1948-01-01,1948,4,0.3276,3,0.59,1,0.41,0,0
150,1948-01-01,1948,2,0.893425,1,0.02,1,0.945,0,0
155,1948-01-01,1948,3,0.83395,2,0.09,1,0.91,0,0
160,1948-01-01,1948,2,0.941125,1,0.015,1,0.97,0,0
165,1948-01-01,1948,2,0.830548,0,0,2,0.986,0,0
200,1948-01-01,1948,7,0.675039,2,0.022,5,0.977,1,0.01
205,1948-01-01,1948,1,1,0,0,1,1,0,0
210,1948-01-01,1948,1,1,0,0,1,1,0,0
211,1948-01-01,1948,3,0.5082,0,0,3,1,0,0
212,1948-01-01,1948,1,1,0,0,1,1,0,0
220,1948-01-01,1948,4,0.952644,2,0.01,2,0.98,0,0
221,1948-01-01,1948,NA,NA,NA,NA,NA,NA,NA,NA
223,1948-01-01,1948,NA,NA,NA,NA,NA,NA,NA,NA
225,1948-01-01,1948,3,0.45499,0,0,3,0.938,3,0.938
230,1948-01-01,1948,5,0.497838,4,0.302,1,0.68,0,0
232,1948-01-01,1948,NA,NA,NA,NA,NA,NA,NA,NA
235,1948-01-01,1948,1,1,0,0,1,1,0,0
290,1948-01-01,1948,6,0.67612125,5,0.1715,1,0.81,0,0
305,1948-01-01,1948,2,0.864936,1,0.006,1,0.93,0,0
310,1948-01-01,1948,2,0.8125,1,0.05,1,0.9,0,0
315,1948-01-01,1948,4,0.487846,2,0.067,2,0.933,0,0
325,1948-01-01,1948,6,0.874796,5,0.039,1,0.935,4,0.038
331,1948-01-01,1948,NA,NA,NA,NA,NA,NA,NA,NA
339,1948-01-01,1948,3,0.9035,0,0,3,0.99,0,0
345,1948-01-01,1948,8,0.1985,3,0.21,5,0.72,6,0.82
350,1948-01-01,1948,4,0.922158,3,0.04,1,0.96,0,0
355,1948-01-01,1948,5,0.701693,0,0,5,0.999,0,0
360,1948-01-01,1948,4,0.80601,1,0.066,3,0.922,1,0.066
365,1948-01-01,1948,58,0.32332463,55,0.2316,3,0.7101,36,0.8845
375,1948-01-01,1948,2,0.8685,0,0,2,0.99,0,0
380,1948-01-01,1948,1,1,0,0,1,1,0,0
385,1948-01-01,1948,1,1,0,0,1,1,0,0
390,1948-01-01,1948,1,1,0,0,1,1,0,0
395,1948-01-01,1948,1,1,0,0,1,1,0,0
450,1948-01-01,1948,2,0.9608,1,0.98,1,0.02,0,0
530,1948-01-01,1948,11,0.21512605,4,0.4031,7,0.5964,0,0
560,1948-01-01,1948,5,0.608125,4,0.915,1,0.08,0,0
630,1948-01-01,1948,11,0.32588291,7,0.1446,4,0.7745,0,0
640,1948-01-01,1948,3,0.59494356,2,0.1866,1,0.75,0,0
645,1948-01-01,1948,3,0.45375,1,0.17,2,0.81,0,0
651,1948-01-01,1948,3,0.83601802,2,0.0901,1,0.9099,0,0
652,1948-01-01,1948,5,0.4567,2,0.16,3,0.83,2,0.16
660,1948-01-01,1948,11,0.1912,4,0.13,7,0.87,0,0
663,1948-01-01,1948,3,0.4136,2,0.56,1,0.4,0,0
666,1948-01-01,1948,3,0.3926,1,0.14,2,0.86,0,0
670,1948-01-01,1948,4,0.2201,2,0.17,2,0.62,0,0
678,1948-01-01,1948,4,0.5604,3,0.71,1,0.29,0,0
698,1948-01-01,1948,1,0.5476,0,0,1,0.74,0,0
700,1948-01-01,1948,12,0.250214,2,0.117,10,0.809,0,0
710,1948-01-01,1948,35,0.88389487,0,0,35,0.9959,0,0
711,1948-01-01,1948,1,1,0,0,1,1,0,0
712,1948-01-01,1948,2,0.8125,1,0.05,1,0.9,1,0.05
731,1948-01-01,1948,1,1,0,0,1,1,0,0
732,1948-01-01,1948,1,1,0,0,1,1,0,0
740,1948-01-01,1948,5,0.94689304,1,0.006,4,0.9892,0,0
750,1948-01-01,1948,19,0.130965360862794,4,0.00602712,15,0.96132632,4,0.337519
770,1948-01-01,1948,9,0.396853,4,0.61,5,0.379,0,0
775,1948-01-01,1948,12,0.477711,9,0.207,3,0.78,4,0.85
780,1948-01-01,1948,4,0.5201,3,0.29,1,0.7,0,0
790,1948-01-01,1948,6,0.2343,4,0.64,2,0.35,0,0
800,1948-01-01,1948,5,0.56855,3,0.18,2,0.75,0,0
840,1948-01-01,1948,4,0.746332,2,0.066,2,0.934,0,0
850,1948-01-01,1948,15,0.22507575,13,0.3079,2,0.48,12,0.2879
900,1948-01-01,1948,3,0.7076,2,0.06,1,0.84,0,0
920,1948-01-01,1948,4,0.761014,1,0.097,3,0.947,0,0
2,1949-01-01,1949,6,0.50985648,2,0.1318,4,0.8562,1,0.0078
20,1949-01-01,1949,3,0.4269,1,0.02,2,0.87,2,0.87
40,1949-01-01,1949,2,0.539762,1,0.359,1,0.641,0,0
41,1949-01-01,1949,1,1,0,0,1,1,0,0
42,1949-01-01,1949,1,1,0,0,1,1,0,0
70,1949-01-01,1949,4,0.664314,3,0.199,1,0.801,0,0
90,1949-01-01,1949,4,0.495638,1,0.515,3,0.485,0,0
91,1949-01-01,1949,3,0.833256,1,0.016,2,0.98,0,0
92,1949-01-01,1949,2,0.82,1,0.1,1,0.9,0,0
93,1949-01-01,1949,4,0.748929,3,0.127,1,0.86,0,0
94,1949-01-01,1949,3,0.707229,2,0.102,1,0.837,0,0
95,1949-01-01,1949,5,0.661434,2,0.155,3,0.843,1,0.015
100,1949-01-01,1949,3,0.586956,1,0.034,2,0.96,0,0
101,1949-01-01,1949,3,0.735458,0,0,3,1,0,0
130,1949-01-01,1949,4,0.6734,3,0.19,1,0.81,0,0
135,1949-01-01,1949,4,0.403365,3,0.423,1,0.52,0,0
140,1949-01-01,1949,3,0.494116,0,0,3,0.994,0,0
145,1949-01-01,1949,4,0.3276,3,0.59,1,0.41,0,0
150,1949-01-01,1949,2,0.893425,1,0.02,1,0.945,0,0
155,1949-01-01,1949,3,0.83395,2,0.09,1,0.91,0,0
160,1949-01-01,1949,2,0.941125,1,0.015,1,0.97,0,0
165,1949-01-01,1949,2,0.830548,0,0,2,0.986,0,0
200,1949-01-01,1949,7,0.675039,2,0.022,5,0.977,1,0.01
205,1949-01-01,1949,1,1,0,0,1,1,0,0
210,1949-01-01,1949,1,1,0,0,1,1,0,0
211,1949-01-01,1949,3,0.5082,0,0,3,1,0,0
212,1949-01-01,1949,1,1,0,0,1,1,0,0
220,1949-01-01,1949,4,0.952644,2,0.01,2,0.98,0,0
221,1949-01-01,1949,NA,NA,NA,NA,NA,NA,NA,NA
223,1949-01-01,1949,NA,NA,NA,NA,NA,NA,NA,NA
225,1949-01-01,1949,3,0.45499,0,0,3,0.938,3,0.938
230,1949-01-01,1949,5,0.497838,4,0.302,1,0.68,0,0
232,1949-01-01,1949,NA,NA,NA,NA,NA,NA,NA,NA
235,1949-01-01,1949,1,1,0,0,1,1,0,0
260,1949-01-01,1949,1,1,0,0,1,1,0,0
265,1949-01-01,1949,1,1,0,0,1,1,0,0
290,1949-01-01,1949,6,0.67612125,5,0.1715,1,0.81,0,0
305,1949-01-01,1949,2,0.864936,1,0.006,1,0.93,0,0
310,1949-01-01,1949,2,0.8125,1,0.05,1,0.9,0,0
315,1949-01-01,1949,4,0.487846,2,0.067,2,0.933,0,0
325,1949-01-01,1949,6,0.874796,5,0.039,1,0.935,4,0.038
331,1949-01-01,1949,NA,NA,NA,NA,NA,NA,NA,NA
339,1949-01-01,1949,3,0.9035,0,0,3,0.99,0,0
345,1949-01-01,1949,8,0.1985,3,0.21,5,0.72,6,0.82
350,1949-01-01,1949,4,0.922158,3,0.04,1,0.96,0,0
355,1949-01-01,1949,5,0.701693,0,0,5,0.999,0,0
360,1949-01-01,1949,4,0.80601,1,0.066,3,0.922,1,0.066
365,1949-01-01,1949,58,0.32332463,55,0.2316,3,0.7101,36,0.8845
375,1949-01-01,1949,2,0.8685,0,0,2,0.99,0,0
380,1949-01-01,1949,1,1,0,0,1,1,0,0
385,1949-01-01,1949,1,1,0,0,1,1,0,0
390,1949-01-01,1949,1,1,0,0,1,1,0,0
395,1949-01-01,1949,1,1,0,0,1,1,0,0
450,1949-01-01,1949,2,0.9608,1,0.98,1,0.02,0,0
530,1949-01-01,1949,11,0.21512605,4,0.4031,7,0.5964,0,0
560,1949-01-01,1949,5,0.608125,4,0.915,1,0.08,0,0
630,1949-01-01,1949,11,0.32588291,7,0.1446,4,0.7745,0,0
640,1949-01-01,1949,3,0.59494356,2,0.1866,1,0.75,0,0
645,1949-01-01,1949,3,0.45375,1,0.17,2,0.81,0,0
651,1949-01-01,1949,3,0.83601802,2,0.0901,1,0.9099,0,0
652,1949-01-01,1949,5,0.4567,0,0,5,0.99,0,0
660,1949-01-01,1949,11,0.1912,4,0.13,7,0.87,0,0
663,1949-01-01,1949,3,0.4136,2,0.56,1,0.4,0,0
666,1949-01-01,1949,3,0.3926,1,0.14,2,0.86,0,0
670,1949-01-01,1949,4,0.2201,2,0.17,2,0.62,0,0
678,1949-01-01,1949,4,0.5604,3,0.71,1,0.29,0,0
698,1949-01-01,1949,1,0.5476,0,0,1,0.74,0,0
700,1949-01-01,1949,12,0.250214,2,0.117,10,0.809,0,0
710,1949-01-01,1949,35,0.88389487,13,0.0482,22,0.9477,1,0.0025
711,1949-01-01,1949,1,1,0,0,1,1,0,0
712,1949-01-01,1949,2,0.8125,1,0.05,1,0.9,1,0.05
713,1949-01-01,1949,3,0.7256,1,0.84,2,0.16,0,0
731,1949-01-01,1949,1,1,0,0,1,1,0,0
732,1949-01-01,1949,1,1,0,0,1,1,0,0
740,1949-01-01,1949,5,0.94689304,1,0.006,4,0.9892,0,0
750,1949-01-01,1949,20,0.1297817,5,0.0105,15,0.9569,5,0.3405
760,1949-01-01,1949,2,0.3725,1,0.35,1,0.5,0,0
770,1949-01-01,1949,9,0.396853,4,0.61,5,0.379,0,0
775,1949-01-01,1949,12,0.477711,9,0.207,3,0.78,4,0.85
780,1949-01-01,1949,4,0.5201,3,0.29,1,0.7,0,0
790,1949-01-01,1949,6,0.2343,4,0.64,2,0.35,0,0
800,1949-01-01,1949,5,0.56855,3,0.18,2,0.75,0,0
840,1949-01-01,1949,4,0.746332,2,0.066,2,0.934,0,0
850,1949-01-01,1949,15,0.22507575,13,0.3079,2,0.48,12,0.2879
900,1949-01-01,1949,3,0.7076,2,0.06,1,0.84,0,0
920,1949-01-01,1949,4,0.761014,1,0.097,3,0.947,0,0
2,1950-01-01,1950,6,0.50985648,2,0.1318,4,0.8562,1,0.0078
20,1950-01-01,1950,3,0.4269,1,0.02,2,0.87,2,0.87
40,1950-01-01,1950,2,0.539762,1,0.359,1,0.641,0,0
41,1950-01-01,1950,1,1,0,0,1,1,0,0
42,1950-01-01,1950,1,1,0,0,1,1,0,0
70,1950-01-01,1950,4,0.664314,3,0.199,1,0.801,0,0
90,1950-01-01,1950,4,0.495638,1,0.515,3,0.485,0,0
91,1950-01-01,1950,3,0.833256,1,0.016,2,0.98,0,0
92,1950-01-01,1950,2,0.82,1,0.1,1,0.9,0,0
93,1950-01-01,1950,4,0.748929,3,0.127,1,0.86,0,0
94,1950-01-01,1950,3,0.707229,2,0.102,1,0.837,0,0
95,1950-01-01,1950,5,0.661434,2,0.155,3,0.843,1,0.015
100,1950-01-01,1950,3,0.586956,1,0.034,2,0.96,0,0
101,1950-01-01,1950,3,0.735458,0,0,3,1,0,0
130,1950-01-01,1950,4,0.6734,3,0.19,1,0.81,0,0
135,1950-01-01,1950,4,0.403365,3,0.423,1,0.52,0,0
140,1950-01-01,1950,3,0.494116,0,0,3,0.994,0,0
145,1950-01-01,1950,4,0.3276,3,0.59,1,0.41,0,0
150,1950-01-01,1950,2,0.893425,1,0.02,1,0.945,0,0
155,1950-01-01,1950,3,0.83395,2,0.09,1,0.91,0,0
160,1950-01-01,1950,2,0.941125,1,0.015,1,0.97,0,0
165,1950-01-01,1950,2,0.830548,0,0,2,0.986,0,0
200,1950-01-01,1950,7,0.675039,2,0.022,5,0.977,1,0.01
205,1950-01-01,1950,1,1,0,0,1,1,0,0
210,1950-01-01,1950,1,1,0,0,1,1,0,0
211,1950-01-01,1950,3,0.5082,0,0,3,1,0,0
212,1950-01-01,1950,1,1,0,0,1,1,0,0
220,1950-01-01,1950,4,0.952644,2,0.01,2,0.98,0,0
221,1950-01-01,1950,NA,NA,NA,NA,NA,NA,NA,NA
223,1950-01-01,1950,NA,NA,NA,NA,NA,NA,NA,NA
225,1950-01-01,1950,3,0.45499,0,0,3,0.938,3,0.938
230,1950-01-01,1950,5,0.497838,4,0.302,1,0.68,0,0
232,1950-01-01,1950,NA,NA,NA,NA,NA,NA,NA,NA
235,1950-01-01,1950,1,1,0,0,1,1,0,0
260,1950-01-01,1950,1,1,0,0,1,1,0,0
265,1950-01-01,1950,1,1,0,0,1,1,0,0
290,1950-01-01,1950,6,0.67612125,5,0.1715,1,0.81,0,0
305,1950-01-01,1950,2,0.864936,1,0.006,1,0.93,0,0
310,1950-01-01,1950,2,0.8125,1,0.05,1,0.9,0,0
315,1950-01-01,1950,4,0.487846,2,0.067,2,0.933,0,0
325,1950-01-01,1950,6,0.874796,5,0.039,1,0.935,4,0.038
331,1950-01-01,1950,NA,NA,NA,NA,NA,NA,NA,NA
339,1950-01-01,1950,3,0.9035,0,0,3,0.99,0,0
345,1950-01-01,1950,8,0.1985,3,0.21,5,0.72,6,0.82
350,1950-01-01,1950,4,0.922158,3,0.04,1,0.96,0,0
355,1950-01-01,1950,5,0.701693,0,0,5,0.999,0,0
360,1950-01-01,1950,4,0.80601,1,0.066,3,0.922,1,0.066
365,1950-01-01,1950,58,0.32332463,55,0.2316,3,0.7101,36,0.8845
375,1950-01-01,1950,2,0.8685,0,0,2,0.99,0,0
380,1950-01-01,1950,1,1,0,0,1,1,0,0
385,1950-01-01,1950,1,1,0,0,1,1,0,0
390,1950-01-01,1950,1,1,0,0,1,1,0,0
395,1950-01-01,1950,1,1,0,0,1,1,0,0
450,1950-01-01,1950,2,0.9608,1,0.98,1,0.02,0,0
530,1950-01-01,1950,11,0.21512605,4,0.4031,7,0.5964,0,0
560,1950-01-01,1950,5,0.608125,4,0.915,1,0.08,0,0
630,1950-01-01,1950,11,0.32588291,7,0.1446,4,0.7745,0,0
640,1950-01-01,1950,3,0.59494356,2,0.1866,1,0.75,0,0
645,1950-01-01,1950,3,0.45375,1,0.17,2,0.81,0,0
651,1950-01-01,1950,3,0.83601802,2,0.0901,1,0.9099,0,0
652,1950-01-01,1950,5,0.4567,0,0,5,0.99,0,0
660,1950-01-01,1950,11,0.1912,4,0.13,7,0.87,0,0
663,1950-01-01,1950,3,0.4136,2,0.56,1,0.4,0,0
666,1950-01-01,1950,3,0.3926,1,0.14,2,0.86,0,0
670,1950-01-01,1950,4,0.2201,2,0.17,2,0.62,0,0
678,1950-01-01,1950,3,0.5742,2,0.71,1,0.29,0,0
698,1950-01-01,1950,1,0.5476,0,0,1,0.74,0,0
700,1950-01-01,1950,12,0.250214,2,0.117,10,0.809,0,0
710,1950-01-01,1950,35,0.88389487,13,0.0482,22,0.9477,1,0.0025
711,1950-01-01,1950,1,1,0,0,1,1,0,0
712,1950-01-01,1950,2,0.8125,1,0.05,1,0.9,1,0.05
713,1950-01-01,1950,3,0.7256,1,0.84,2,0.16,0,0
731,1950-01-01,1950,1,1,0,0,1,1,0,0
732,1950-01-01,1950,1,1,0,0,1,1,0,0
740,1950-01-01,1950,5,0.94689304,1,0.006,4,0.9892,0,0
750,1950-01-01,1950,20,0.1297817,5,0.0105,15,0.9569,5,0.3405
760,1950-01-01,1950,2,0.3725,1,0.35,1,0.5,0,0
770,1950-01-01,1950,9,0.396853,4,0.61,5,0.379,0,0
775,1950-01-01,1950,12,0.477711,9,0.207,3,0.78,4,0.85
780,1950-01-01,1950,4,0.5201,3,0.29,1,0.7,0,0
790,1950-01-01,1950,6,0.2343,4,0.64,2,0.35,0,0
800,1950-01-01,1950,5,0.56855,3,0.18,2,0.75,0,0
840,1950-01-01,1950,4,0.746332,2,0.066,2,0.934,0,0
850,1950-01-01,1950,15,0.22507575,13,0.3079,2,0.48,12,0.2879
