Variables
gwcode
year
v2x_veracc_osp
v2x_veracc_osp_diff_y2y
dv_v2x_veracc_osp_change
dv_v2x_veracc_osp_up_next2
dv_v2x_veracc_osp_down_next2
v2xcs_ccsi
v2xcs_ccsi_diff_y2y
dv_v2xcs_ccsi_change
dv_v2xcs_ccsi_up_next2
dv_v2xcs_ccsi_down_next2
v2xcl_rol
v2xcl_rol_diff_y2y
dv_v2xcl_rol_change
dv_v2xcl_rol_up_next2
dv_v2xcl_rol_down_next2
v2x_freexp_altinf
v2x_freexp_altinf_diff_y2y
dv_v2x_freexp_altinf_change
dv_v2x_freexp_altinf_up_next2
dv_v2x_freexp_altinf_down_next2
v2x_horacc_osp
v2x_horacc_osp_diff_y2y
dv_v2x_horacc_osp_change
dv_v2x_horacc_osp_up_next2
dv_v2x_horacc_osp_down_next2
v2x_pubcorr
v2x_pubcorr_diff_y2y
dv_v2x_pubcorr_change
dv_v2x_pubcorr_up_next2
dv_v2x_pubcorr_down_next2
v2x_veracc_osp_up_ma5
v2xcs_ccsi_up_ma5
v2xcl_rol_up_ma5
v2x_freexp_altinf_up_ma5
v2x_horacc_osp_up_ma5
v2x_pubcorr_up_ma5
v2x_veracc_osp_down_ma5
v2xcs_ccsi_down_ma5
v2xcl_rol_down_ma5
v2x_freexp_altinf_down_ma5
v2x_horacc_osp_down_ma5
v2x_pubcorr_down_ma5
v2x_veracc_osp_up_ma10
v2xcs_ccsi_up_ma10
v2xcl_rol_up_ma10
v2x_freexp_altinf_up_ma10
v2x_horacc_osp_up_ma10
v2x_pubcorr_up_ma10
v2x_veracc_osp_down_ma10
v2xcs_ccsi_down_ma10
v2xcl_rol_down_ma10
v2x_freexp_altinf_down_ma10
v2x_horacc_osp_down_ma10
v2x_pubcorr_down_ma10
v2x_veracc_osp_squared
v2xcs_ccsi_squared
v2xcl_rol_squared
v2x_freexp_altinf_squared
v2x_horacc_osp_squared
v2x_pubcorr_squared
lag0_is_leg
lag0_is_elec
lag0_is_election_year
lag0_v2x_polyarchy
lag0_v2x_liberal
lag0_v2xdl_delib
lag0_v2x_jucon
lag0_v2x_frassoc_thick
lag0_v2xel_frefair
lag0_v2x_elecoff
lag0_v2xlg_legcon
lag0_v2x_partip
lag0_v2x_cspart
lag0_v2x_egal
lag0_v2xeg_eqprotec
lag0_v2xeg_eqaccess
lag0_v2xeg_eqdr
lag0_v2x_diagacc
lag0_v2xex_elecleg
lag0_v2x_civlib
lag0_v2x_clphy
lag0_v2x_clpol
lag0_v2x_clpriv
lag0_v2x_corr
lag0_v2x_EDcomp_thick
lag0_v2x_elecreg
lag0_v2x_freexp
lag0_v2x_gencl
lag0_v2x_gencs
lag0_v2x_hosabort
lag0_v2x_hosinter
lag0_v2x_rule
lag0_v2xcl_acjst
lag0_v2xcl_disc
lag0_v2xcl_dmove
lag0_v2xcl_prpty
lag0_v2xcl_slave
lag0_v2xel_elecparl
lag0_v2xel_elecpres
lag0_v2xex_elecreg
lag0_v2xlg_elecreg
lag0_v2ex_legconhog
lag0_v2ex_legconhos
lag0_v2x_ex_confidence
lag0_v2x_ex_direlect
lag0_v2x_ex_hereditary
lag0_v2x_ex_military
lag0_v2x_ex_party
lag0_v2x_execorr
lag0_v2x_legabort
lag0_v2xlg_leginter
lag0_v2x_neopat
lag0_v2xnp_client
lag0_v2xnp_pres
lag0_v2xnp_regcorr
lag0_v2elvotbuy
lag0_v2elfrcamp
lag0_v2elpdcamp
lag0_v2elpaidig
lag0_v2elmonref
lag0_v2elmonden
lag0_v2elrgstry
lag0_v2elirreg
lag0_v2elintim
lag0_v2elpeace
lag0_v2elfrfair
lag0_v2elmulpar
lag0_v2elboycot
lag0_v2elaccept
lag0_v2elasmoff
lag0_v2eldonate
lag0_v2elpubfin
lag0_v2ellocumul
lag0_v2elprescons
lag0_v2elprescumul
lag0_v2elembaut
lag0_v2elembcap
lag0_v2elreggov
lag0_v2ellocgov
lag0_v2ellocons
lag0_v2elrsthos
lag0_v2elrstrct
lag0_v2psparban
lag0_v2psbars
lag0_v2psoppaut
lag0_v2psorgs
lag0_v2psprbrch
lag0_v2psprlnks
lag0_v2psplats
lag0_v2pscnslnl
lag0_v2pscohesv
lag0_v2pscomprg
lag0_v2psnatpar
lag0_v2pssunpar
lag0_v2exremhsp
lag0_v2exdfdshs
lag0_v2exdfcbhs
lag0_v2exdfvths
lag0_v2exdfdmhs
lag0_v2exdfpphs
lag0_v2exhoshog
lag0_v2exrescon
lag0_v2exbribe
lag0_v2exembez
lag0_v2excrptps
lag0_v2exthftps
lag0_v2ex_elechos
lag0_v2ex_hogw
lag0_v2expathhs
lag0_v2lgbicam
lag0_v2lgqstexp
lag0_v2lginvstp
